source,target,rating
85855,0,7.2
85855,1,6
85855,2,
85855,3,
85855,4,7.5
85855,5,
85855,6,3
85855,7,6
85855,8,
85855,9,
85855,10,
85855,11,8
85855,12,7
85855,13,8
85855,14,
85855,15,
85855,16,
85855,17,
85855,18,6
85855,19,
85855,20,
85855,21,
85855,22,9
85855,23,8
85855,24,6
85855,25,
85855,26,
85855,27,
85855,28,
85855,29,
85855,30,6
85855,31,
85855,32,
85855,33,
85855,34,6
85855,35,
85855,36,
85855,37,5
85855,38,8
85855,39,5
85855,40,
85855,41,
85855,42,7
85855,43,
85855,44,
85855,45,
85855,46,
85855,47,4.7
85855,48,7
85855,49,6
85855,50,
85856,0,6
85856,1,6.1
85856,2,5.5
85856,3,5.3
85856,4,7
85856,5,5.6
85856,6,6.4
85856,7,5.9
85856,8,7.4
85856,9,5.9
85856,10,6.3
85856,11,6.9
85856,12,7
85856,13,6.8
85856,14,5.7
85856,15,5.8
85856,16,6.8
85856,17,5.5
85856,18,6.5
85856,19,5.2
85856,20,6
85856,21,6.2
85856,22,6.4
85856,23,6.4
85856,24,7
85856,25,5.8
85856,26,7
85856,27,6.7
85856,28,5.7
85856,29,6.5
85856,30,6.5
85856,31,4.7
85856,32,6.5
85856,33,5.7
85856,34,6.4
85856,35,4.7
85856,36,5.6
85856,37,5.5
85856,38,5.5
85856,39,6.3
85856,40,6.6
85856,41,3.8
85856,42,6
85856,43,5.9
85856,44,5.5
85856,45,6.2
85856,46,6.4
85856,47,6
85856,48,6.3
85856,49,6.3
85856,50,6.4
85857,0,5.7
85857,1,6
85857,2,5.8
85857,3,5
85857,4,7
85857,5,5.6
85857,6,6.7
85857,7,6.2
85857,8,6.7
85857,9,5.3
85857,10,6.6
85857,11,6.9
85857,12,6.9
85857,13,6.9
85857,14,6.1
85857,15,6.5
85857,16,6.9
85857,17,5.6
85857,18,6.5
85857,19,5.8
85857,20,5.9
85857,21,6.2
85857,22,6.4
85857,23,5.9
85857,24,7
85857,25,6
85857,26,7.4
85857,27,6.9
85857,28,5.5
85857,29,6.7
85857,30,6.9
85857,31,5.2
85857,32,6.4
85857,33,5.7
85857,34,6.2
85857,35,5.3
85857,36,6.4
85857,37,5.5
85857,38,5.8
85857,39,6.2
85857,40,6.4
85857,41,5.5
85857,42,5.2
85857,43,6.3
85857,44,5.5
85857,45,6.5
85857,46,5.9
85857,47,6.3
85857,48,6.4
85857,49,6.4
85857,50,5.6
85858,0,6.6
85858,1,6.3
85858,2,6.2
85858,3,5.3
85858,4,7.1
85858,5,5.8
85858,6,7
85858,7,6.3
85858,8,6.5
85858,9,5.8
85858,10,6.8
85858,11,7.1
85858,12,7.3
85858,13,7.1
85858,14,6.6
85858,15,7
85858,16,7.1
85858,17,5.8
85858,18,6.5
85858,19,6.3
85858,20,6.5
85858,21,6.7
85858,22,6.5
85858,23,6.8
85858,24,7.2
85858,25,6.1
85858,26,7.7
85858,27,6.9
85858,28,6.2
85858,29,7.1
85858,30,7.2
85858,31,5.4
85858,32,6.8
85858,33,6.1
85858,34,5.8
85858,35,6
85858,36,6.4
85858,37,6
85858,38,6.6
85858,39,6.4
85858,40,6.2
85858,41,5.5
85858,42,5.7
85858,43,6.7
85858,44,6
85858,45,6.9
85858,46,6.5
85858,47,6.7
85858,48,6.3
85858,49,7
85858,50,6.1
